source_id,authors_or_owner,title,year,venue,source_type,geographic_scope,name_as_reported,source_url,source_quality,doi,access_class,notes,dataset_version,record_status
HS0011,Frontiers authors,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,Frontiers in Sustainable Food Systems,Primary community nutrition + lab,West Bengal,Handia,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,High,,,,1.0.0,verified_seed
HS0012,Government of Jharkhand,Sarhul,2026,Chief Minister of Jharkhand,Official cultural description,Jharkhand,Handia,https://cm.jharkhand.gov.in/sarhul,High,,,,1.0.0,verified_seed
HS0013,District Administration Khunti,Culture & Heritage,2026,Government of Jharkhand,Official cultural description,"Khunti, Jharkhand",rice beer,https://khunti.nic.in/culture-heritage/,High,,,,1.0.0,verified_seed
HS0014,Government of Jharkhand,Phulo Jhano Aashirwad campaign interaction,2021,Chief Minister of Jharkhand,Official policy/livelihood,Jharkhand,हड़िया / hadiya,https://cm.jharkhand.gov.in/node/13913,High,,,,1.0.0,verified_seed
HS0015,Government of Jharkhand,Rural Development Department review - Phulo Jhano,2020,Chief Minister of Jharkhand,Official policy/livelihood,Jharkhand,हड़िया / hadiya,https://cm.jharkhand.gov.in/node/14041,High,,,,1.0.0,verified_seed
HS0016,India Code,The Excise Law of Bihar & Jharkhand 1915,1915,India Code,Law,Jharkhand,pachwai,https://www.indiacode.nic.in/handle/123456789/6054?sam_handle=%2F1000,High,,,,1.0.0,verified_seed
HS0017,FSSAI,"Food Safety and Standards (Alcoholic Beverages) First Amendment Regulations, 2025",2025,FSSAI,Regulation,India,Handia; Haria,https://fssai.gov.in/upload/uploadfiles/files/Food%20Safety%20and%20Standards_Alcoholic%20Beverages_First%20Amendment%20Regulations%202025.pdf,High,,,,1.0.0,verified_seed
HS0018,"Panda, S.K.; Bastia, A.K.; Sahoo, G.",Process characteristics and nutritional evaluation of handia - A cereal based ethnic fermented food from Odisha,2014,Indian Journal of Traditional Knowledge,Primary ethnobotany + lab,Northern Odisha,Handia,https://www.researchgate.net/publication/286861722_Process_characteristics_and_nutritional_evaluation_of_handia_-A_cereal_based_ethnic_fermented_food_from_Odisha,High,,,,1.0.0,verified_seed
HS0019,Journal of Ethnic Foods authors,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,Journal of Ethnic Foods,Primary ethnobotany + lab,West Bengal,Haria,https://link.springer.com/article/10.1186/s42779-022-00143-6,High,,,,1.0.0,verified_seed
HS0020,"Hembrom, Sukanya; Lal, Shalini; Kumar, Sanyukta",The Microbiology and Traditional State of Fermented Beverage Handia: A Review,2022,Research Journal of Agricultural Sciences,Review,Eastern India,Handia,https://www.researchgate.net/publication/381709181_The_Microbiology_and_Traditional_State_of_Fermented_Beverage_Handia_A_Review,Medium,,,,1.0.0,verified_seed
HS0021,"Nandi, Priyanka",A Review on Handia - A Traditional Drink of Tribals,2024,International Journal of Food and Nutritional Sciences,Review,Eastern/North-eastern India,Handia,https://www.ijfans.org/index.php/Journal/article/view/1568,Medium,,,,1.0.0,verified_seed
HS0022,"Kuiry, Hare Krishna",Brewing Belief: The Cultural and Political Life of Hadia and Sarhul in Jharkhand,2025,Journal of South Asian Exchanges,Cultural studies,Jharkhand,Hadia,https://www.researchgate.net/publication/398938892_Brewing_Belief_The_Cultural_and_Political_Life_of_Hadia_and_Sarhul_in_Jharkhand,Medium,,,,1.0.0,verified_seed
HS0023,Food and Humanity authors,"Physicochemical, antibacterial and antioxidant evaluation of cereal-based ethnic fermented Handia",2026,Food and Humanity,Primary laboratory,"Mayurbhanj, Odisha",Handia,https://doi.org/10.1016/j.foohum.2026.101348,High,,,,1.0.0,verified_seed
HS0024,Biotechnology Reports authors,"HR-LCMS based metabolite profiling, antioxidant activity and microbial study of haria from North Dinajpur",2025,Biotechnology Reports,Primary laboratory,"North Dinajpur, West Bengal",Haria,https://doi.org/10.1016/j.btre.2025.102020,High,,,,1.0.0,verified_seed
HS0025,The Locavore / Dipatoli community,Handiya,2026,The Locavore,Community-facing cultural web,Jharkhand,Handiya,https://thelocavore.in/2026/04/21/handiya/,Medium,,,,1.0.0,verified_seed
HS0026,"Sahoo, Tridib Kumar","Ethnobotany of Bakhar used to prepare rice beer (Haria) in Paschim Medinipur, West Bengal, India",2017,Indian Journal of Biological Sciences / Vidyasagar University Repository,Primary ethnobotanical,"Paschim Medinipur, West Bengal",Handia or Haria,https://ir.vidyasagar.ac.in/handle/123456789/5186,High,,institutional repository,Reports 18 plant species used in Bakhar; 14 also used in folk medicine.,1.0.0,verified_seed
HS0027,"Panda, Sujogya Kumar; Bastia, Akshaya Kumar",Antimicrobial efficacy of potential plants used in the indigenous preparation of traditional rice beverage Handia,2013,International Journal of Phytomedicine,Primary ethnobotanical + laboratory,Odisha,Handia,https://ijp.arjournals.org/index.php/ijp/article/view/297,High,,journal page,24 informants across 24 locations; phytochemical and antibacterial testing of starter plants.,1.0.0,verified_seed
HS0028,PubMed / Ghosh et al.,"Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,PubMed record for Food Chemistry article,Authoritative bibliographic record,West Bengal,Haria,https://pubmed.ncbi.nlm.nih.gov/25172700/,High,10.1016/j.foodchem.2014.07.042,bibliographic index,Authoritative PMID record used to cross-check HS0005 metadata and quantitative abstract claims.,1.0.0,crosscheck
HS0029,Bharathidasan University resource,Rice and other cereals based beverages,2010,Fermented Foods Database / educational compilation,Reference compilation,India,Pachwai / Indian rice beer,https://www.bdu.ac.in/schools/biotechnology-and-genetic-engineering/biotechnology/sekardb/pdf/beverage/2.pdf,Medium,,institutional PDF,"Historical reference compilation; useful for terminology and old references, not treated as independent primary Handia evidence.",1.0.0,context
